text,label
"Thank you for applying to Acme Corp. We have received your application for Software Engineer.",1
"Your application with ID Req#12345 has been received.",1
"Reminder: Your password expires in 3 days",0
"Meeting notes from today's standup",0
"Application received: We appreciate your interest in the Data Scientist position",1
"Invoice for your purchase",0
"Your submission has been received for the Role: ML Intern at FooBar",1
"Company newsletter: new benefits",0
"Application received (Ref: P001) for Software Engineering Intern at TechCorp. We will review your application.",1
"Application received (Ref: P002) for Software Engineer at DevWorks. Thank you for applying — our team will review your materials.",1
"Application received (Ref: P003) for Machine Learning Engineer at NextGen Labs. Your submission is now in our review queue.",1
"Application received (Ref: P004) for Data Engineer at Cloudify. We have received your application.",1
"Application received (Ref: P005) for Frontend Engineer at ByteLabs. Thank you — your application is under review.",1
"Application received (Ref: P006) for Backend Engineer at NeuralNet. We will contact you if shortlisted.",1
"Application received (Ref: P007) for Full Stack Engineer at AlgoSphere. Your materials have been received.",1
"Application received (Ref: P008) for DevOps Engineer at DataWave. Thank you for your application.",1
"Application received (Ref: P009) for Site Reliability Engineer at InfraTech. We will review your profile.",1
"Application received (Ref: P010) for QA Engineer at AppForge. Your submission has been logged.",1
"Application received (Ref: P011) for Mobile Engineer at NetSecure. We have received your application.",1
"Application received (Ref: P012) for Embedded Engineer at Skyward. Thank you — we'll review your materials.",1
"Application received (Ref: P013) for Cloud Engineer at TechCorp. Your application is in our system.",1
"Application received (Ref: P014) for Software Engineering Intern at DevWorks. We appreciate your interest.",1
"Application received (Ref: P015) for Software Engineer at NextGen Labs. Application received and queued for review.",1
"Application received (Ref: P016) for Machine Learning Engineer at Cloudify. Thank you for applying.",1
"Application received (Ref: P017) for Data Engineer at ByteLabs. We have recorded your submission.",1
"Application received (Ref: P018) for Frontend Engineer at NeuralNet. Your application has been received.",1
"Application received (Ref: P019) for Backend Engineer at AlgoSphere. Thank you — our hiring team will review.",1
"Application received (Ref: P020) for Full Stack Engineer at DataWave. We have your materials.",1
"Application received (Ref: P021) for DevOps Engineer at InfraTech. Your submission is in review.",1
